network,description
131.198.208.0/24,"Building 121 Data Center"
131.198.209.0/24,"Building 121 Data Center"
131.198.173.0/24,"Building 155 Data Center"
131.199.216.0/24,"Building 308 Data Center"
131.198.123.0/24,"Building 582 Data Center"
198.151.225.0/24,"CR 106 J9 (Blade Workstations) Alliance Domain"
198.151.226.0/24,"CR 121 Alliance Network (Alliance JR / DMZ2) VLAN826"
131.198.12.0/24,"DE - PDM Systems"
131.198.122.0/24,"DFARS projects IP space"
131.198.138.0/23,"Data Center"
131.198.140.0/23,"Data Center"
131.199.168.0/22,"Data Chambers - Winston Salem Data Center"
131.199.164.0/22,"Data Chambers - Winston Salem Data Center"
131.199.166.0/24,"Data Chambers Citrix Fram"
131.199.167.0/24,"Data Chambers Citrix Fram"
131.199.108.0/24,"Data Chambers Data Center"
131.199.109.0/24,"Data Chambers Data Center"
131.199.110.0/24,"Data Chambers Data Center"
131.199.111.0/24,"Data Chambers Data Center"
131.199.104.0/24,"Data Chambers Data Center"
131.199.105.0/24,"Data Chambers Data Center"
131.199.106.0/24,"Data Chambers Data Center"
131.199.107.0/24,"Data Chambers Data Center"
